id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/import.json,keywords/from_import.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/builtins.json,count
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/node1-origin.py,python,39,108,0,0,3,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/node2-first-version.py,python,27,98,0,0,3,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/node2-origin.py,python,23,70,0,0,3,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/middleman.py,python,69,181,0,0,2,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/node1.py,python,68,177,0,0,2,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/middleman-first-version.py,python,64,231,0,0,3,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/p2p-nat-hole-punching/middleman-origin.py,python,52,169,0,0,3,0,0,0,0,0,1
233376576,imp_projects4/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec/chiehting-lab-03a9a2f/python/load-mp4-video-capture/index.py,python,36,94,0,0,2,0,0,0,0,0,1
492495030,imp_projects4/0/492495030-160851d1d00d618946de995f764cf392291c2d75/Chocker926-Security_in_action-160851d/SM3_Rho/SM3_Rho.py,python,33,118,0,0,2,1,0,0,0,0,1
492495030,imp_projects4/0/492495030-160851d1d00d618946de995f764cf392291c2d75/Chocker926-Security_in_action-160851d/Merkle Tree/Merkle_Tree.py,python,41,133,0,0,3,0,0,0,0,0,1
492495030,imp_projects4/0/492495030-160851d1d00d618946de995f764cf392291c2d75/Chocker926-Security_in_action-160851d/SM3_Birth_attack/SM3_Birth_attack.py,python,48,158,0,0,2,1,0,0,0,0,1
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch2.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch7.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch4.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch3.py,python,59,222,0,0,3,0,0,0,0,0,1
