id,path,name,position,language,loc,words,keywords/globals.json,loop_statements,loop_nestings,if_statements,if_nestings,functions_calls,function_calls_nestings,params,param_kw_match,parse_error
829743320,projects/0/829743320-491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42/physwizz-A245-U-u5-491e7bc/prebuilts/build-tools/common/py3-stdlib/timeit.py.functions/101-5,__init__,101:5,python,34,125,3,0,0,3,1,14,1,0,0,none
829743320,projects/0/829743320-491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42/physwizz-A245-U-u5-491e7bc/prebuilts/build-tools/common/py3-stdlib/timeit.py.functions/230-1,timeit,230:1,python,4,30,2,0,0,0,0,2,2,0,0,none
829743320,projects/0/829743320-491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42/physwizz-A245-U-u5-491e7bc/prebuilts/build-tools/common/py3-stdlib/timeit.py.functions/235-1,repeat,235:1,python,4,33,2,0,0,0,0,2,2,0,0,none
829743320,projects/0/829743320-491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42/physwizz-A245-U-u5-491e7bc/prebuilts/clang/host/linux-x86/clang-r416183b/python3/lib/python3.9/zoneinfo/__init__.py.functions/30-1,__dir__,30:1,python,2,7,1,0,0,0,0,3,3,0,0,none
557723563,projects/0/557723563-1fdc54433fb6188e570b0247e17c746597ecab89/python-hacked-bluetickhrm-1fdc544/venv/Lib/site-packages/jinja2/debug.py.functions/76-1,fake_traceback,76:1,python,72,213,2,0,0,4,2,8,1,0,0,none
332934941,projects/0/332934941-087877be1c9716109978be284ea74e2a47e9b522/azufre-Scrapy-087877b/env/Lib/importlib/_bootstrap.py.functions/1054-1,_calc___package__,1054:1,python,25,109,5,0,0,3,2,5,1,0,0,none
332934941,projects/0/332934941-087877be1c9716109978be284ea74e2a47e9b522/azufre-Scrapy-087877b/env/Lib/importlib/_bootstrap.py.functions/1081-1,__import__,1081:1,python,35,149,3,0,0,4,2,11,2,0,0,none
726697627,projects/0/726697627-d66d73ad016cbbd9b598706c4e88e27f0845a00e/nasttymain-SecondLF-d66d73a/secondlf.py.functions/33-1,app_init,33:1,python,113,535,1,6,2,11,5,79,3,0,0,none
41652700,projects/0/41652700-b50b7d8738cba5e2a4865b381185f646a96c872c/imharrywu-v8-b50b7d8/third_party/python/Lib/ctypes/test/__init__.py.functions/61-1,get_tests,61:1,python,24,106,1,2,2,5,2,14,2,0,0,none
829743320,projects/0/829743320-491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42/physwizz-A245-U-u5-491e7bc/prebuilts/build-tools/common/py3-stdlib/cProfile.py.functions/18-1,runctx,18:1,python,3,19,2,0,0,0,0,2,2,0,0,none
