id,path,name,position,language,loc,words,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,loop_statements,loop_nestings,if_statements,if_nestings,functions_calls,function_calls_nestings,params,param_kw_match,parse_error
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/pickle.py.functions/1053-5,save_global,1053:5,python,65,243,0,0,2,0,0,0,0,0,10,3,26,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/docutils/writers/__init__.py.functions/134-1,get_writer_class,134:1,python,10,41,2,0,0,0,0,0,0,0,1,1,7,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/linecache.py.functions/30-1,clearcache,30:1,python,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/http/server.py.functions/942-1,nobody_uid,942:1,python,14,42,0,0,1,0,0,0,0,0,1,1,3,2,0,0,none
405153059,tot_projects/0/405153059-2ccc80789143d7361a14735d5884830688a4e4b4/microsoft-building-damage-assessment-cnn-siamese-2ccc807/inference/inference.py.functions/52-1,main,52:1,python,87,371,0,0,1,0,0,0,2,1,3,1,52,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/platform.py.functions/746-1,uname,746:1,python,135,288,0,0,1,0,0,0,0,0,26,4,14,2,0,0,none
429142370,tot_projects/0/429142370-8c28dab0627f5fb70fb9260cb89d18620c4f305a/guelate-Cryptosyst-me_DH-Morse-8c28dab/client.py.functions/17-1,DH,17:1,python,21,65,0,0,1,0,0,0,0,0,1,1,12,2,0,0,none
429142370,tot_projects/0/429142370-8c28dab0627f5fb70fb9260cb89d18620c4f305a/guelate-Cryptosyst-me_DH-Morse-8c28dab/client.py.functions/127-1,main_algo,127:1,python,31,103,0,0,3,0,0,0,1,1,1,1,16,2,0,0,none
429142370,tot_projects/0/429142370-8c28dab0627f5fb70fb9260cb89d18620c4f305a/guelate-Cryptosyst-me_DH-Morse-8c28dab/client.py.functions/172-1,authentification,172:1,python,4,11,0,0,1,0,0,0,0,0,0,0,1,1,0,0,none
429142370,tot_projects/0/429142370-8c28dab0627f5fb70fb9260cb89d18620c4f305a/guelate-Cryptosyst-me_DH-Morse-8c28dab/client.py.functions/178-1,main,178:1,python,31,48,0,0,4,0,0,0,1,1,2,1,5,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/multiprocessing/context.py.functions/204-5,reducer,204:5,python,4,23,1,0,0,0,0,0,0,0,0,0,2,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/multiprocessing/context.py.functions/210-5,reducer,210:5,python,2,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/web/pgadmin/utils/menu.py.functions/19-5,__init__,19:5,python,23,98,0,0,1,0,0,0,0,0,1,1,10,1,0,0,none
99843425,tot_projects/0/99843425-d97cbfa3b89485a3bbe968b7d712c4d849c43c26/lozuwa-automatic_digital_microscope_open_source_version-d97cbfa/MicroscopeProt4/Webserver.py.functions/122-1,listen,122:1,python,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
