id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json,count
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day6.py,python,28,70,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day2.py,python,28,96,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day4.py,python,62,230,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day11.py,python,67,321,1,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day10.py,python,108,368,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day13.py,python,60,188,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day9.py,python,30,123,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day12.py,python,64,204,0,2,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day1.py,python,20,78,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/day3.py,python,16,59,0,0,0,0,0,1,0,0,1
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1/Bug38-AoC-121e27a/2020/utils.py,python,14,64,0,0,0,0,0,1,0,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/proto_builder/make_proto.py,python,160,562,0,0,0,0,0,2,2,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/proto_builder/templates/proto_template.py,python,37,95,0,0,0,0,0,1,1,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/exporter.py,python,25,68,0,0,0,0,0,1,1,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/col_header.py,python,45,139,0,0,0,0,0,0,2,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/ruler/type_ruler.py,python,33,115,0,0,0,0,0,0,3,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/ruler/default_ruler.py,python,16,45,0,0,0,0,0,0,2,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/ruler/ruler_factory.py,python,35,73,0,0,0,0,0,0,2,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/main.py,python,17,90,0,0,0,0,0,0,1,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/sheet_parser.py,python,153,567,0,0,0,0,0,1,4,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/tool/excel_exporter/src/excel_parser.py,python,19,40,0,0,0,0,0,1,1,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/cmd_line/CmdLine.py,python,11,28,0,0,0,0,0,1,0,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/scene_ctrl_service.py,python,158,804,0,0,0,0,0,5,7,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/db_service.py,python,191,730,0,0,0,0,0,4,7,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/service_addr.py,python,46,123,0,0,0,0,0,1,0,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/scene_service.py,python,109,486,0,0,0,0,0,6,5,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/gateway_service.py,python,37,144,0,0,0,0,0,3,4,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/service_base.py,python,141,551,0,0,0,0,0,5,5,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/service/login_service.py,python,186,751,0,0,0,0,0,6,8,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene_ctrl/scene_mgr.py,python,88,298,0,0,0,0,0,0,3,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene_ctrl/player_mgr.py,python,64,183,0,0,0,0,0,0,3,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene/game_scene.py,python,212,765,0,0,0,0,0,5,8,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene/player/msg_handler.py,python,83,368,0,0,0,0,0,2,6,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene/player/item_mgr.py,python,210,693,0,0,0,0,0,3,3,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene/game_npc.py,python,13,41,0,0,0,0,0,1,0,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/scene/game_player.py,python,153,598,0,0,0,0,0,6,10,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/util/rpc.py,python,95,299,0,0,0,0,0,3,2,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/util/cmd_util.py,python,35,123,0,0,0,0,0,0,1,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/util/logger.py,python,18,42,0,0,0,0,0,1,0,0,1
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0/lkakaka-GameServer-4269d0a/script/python/game/util/db_proxy.py,python,104,362,0,0,0,0,0,1,2,0,1
