id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/global.json,files_with_keywords/nonlocal.json,files_with_keywords/globals.json,files_with_keywords/locals.json,files_with_keywords/inspect.json,files_with_keywords/import.json,files_with_keywords/from_import.json,files_with_keywords/builtins.json,loc_with_kw,loc_of_files_with_keywords/global.json,loc_of_files_with_keywords/nonlocal.json,loc_of_files_with_keywords/globals.json,loc_of_files_with_keywords/locals.json,loc_of_files_with_keywords/inspect.json,loc_of_files_with_keywords/import.json,loc_of_files_with_keywords/from_import.json,loc_of_files_with_keywords/builtins.json,words_with_kw,words_of_files_with_keywords/global.json,words_of_files_with_keywords/nonlocal.json,words_of_files_with_keywords/globals.json,words_of_files_with_keywords/locals.json,words_of_files_with_keywords/inspect.json,words_of_files_with_keywords/import.json,words_of_files_with_keywords/from_import.json,words_of_files_with_keywords/builtins.json,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json
167845805,projects/0/167845805-992bd129648d7064d271c0dd471183f68d78dcb1,mpogrebnyak/thesis,992bd129648d7064d271c0dd471183f68d78dcb1,16,1793,9169,13,0,0,0,0,0,10,12,0,1715,0,0,0,0,0,1687,1637,0,8984,0,0,0,0,0,8119,8609,0,0,0,0,0,0,15,30,0
197077363,projects/0/197077363-c981c1ee4471eb3bebf934aec1972b4d8581340a,faber6911/meetology,c981c1ee4471eb3bebf934aec1972b4d8581340a,1,290,848,1,0,0,0,0,0,1,1,0,290,0,0,0,0,0,290,290,0,848,0,0,0,0,0,848,848,0,0,0,0,0,0,19,25,0
260827118,projects/0/260827118-dbcc13ea97cf9216898518f4b4eeacb2a2e039df,mohit2530/LawnSprinklerSystem,dbcc13ea97cf9216898518f4b4eeacb2a2e039df,13,247,719,7,0,0,0,0,0,5,4,0,233,0,0,0,0,0,169,129,0,687,0,0,0,0,0,504,384,0,0,0,0,0,0,6,10,0
220675923,projects/0/220675923-825249f5ca7ae68938ae83b5a916e82042761d78,cmarche2ti/mlb-hall-of-fame,825249f5ca7ae68938ae83b5a916e82042761d78,1,86,357,1,0,0,0,0,0,1,1,0,86,0,0,0,0,0,86,86,0,357,0,0,0,0,0,357,357,0,0,0,0,0,0,2,1,0
319440866,projects/0/319440866-327edcdbccd5e2a99ca8a9eb17691452c9a30907,d-bryan/sdev-300-lab-eight,327edcdbccd5e2a99ca8a9eb17691452c9a30907,3,879,3323,3,0,0,0,0,0,3,3,0,879,0,0,0,0,0,879,879,0,3323,0,0,0,0,0,3323,3323,0,0,0,0,0,0,7,7,0
799632444,projects/0/799632444-898aaa5f2d35ea34e9243fc994794bf02ff99044,anhnvVNU/LLM_evaluation,898aaa5f2d35ea34e9243fc994794bf02ff99044,3,269,1111,3,0,0,0,0,0,3,3,0,269,0,0,0,0,0,269,269,0,1111,0,0,0,0,0,1111,1111,0,0,0,0,0,0,14,11,0
282666351,projects/0/282666351-088bfc26bfcb8e7034f26cd19de21345e85c4e6f,zaraki02/Flask-Blog-app,088bfc26bfcb8e7034f26cd19de21345e85c4e6f,6,407,1575,6,0,0,0,0,0,3,6,0,407,0,0,0,0,0,286,407,0,1575,0,0,0,0,0,1033,1575,0,0,0,0,0,0,4,34,0
374855019,projects/0/374855019-93696da220f552f57f3b61a0ae081bbf71c385b0,LYC-vio/RNN_MNM_Capacity_modular,93696da220f552f57f3b61a0ae081bbf71c385b0,78,10797,41678,75,0,0,0,0,0,75,75,0,10794,0,0,0,0,0,10794,10794,0,41673,0,0,0,0,0,41673,41673,0,0,0,0,0,0,206,183,0
201702972,projects/0/201702972-859eb53c92a08aaf717b7a44a1f18f6ba6b4b343,CSUBioGroup/DMFLDA2,859eb53c92a08aaf717b7a44a1f18f6ba6b4b343,9,501,1836,6,0,0,0,0,0,6,5,0,457,0,0,0,0,0,457,363,0,1764,0,0,0,0,0,1764,1405,0,0,0,0,0,0,14,9,0
76185788,projects/0/76185788-bf16a42bfdc45a69cba9127568183ee6b8f61797,Joursion/club,bf16a42bfdc45a69cba9127568183ee6b8f61797,1,51,185,1,0,0,0,0,0,1,0,0,51,0,0,0,0,0,51,0,0,185,0,0,0,0,0,185,0,0,0,0,0,0,0,5,0,0
430373968,projects/0/430373968-cae5aa3abac8d62b9c6621caee8698ae96667b4c,EloiStree/2020_03_11_UnityOMI,cae5aa3abac8d62b9c6621caee8698ae96667b4c,5,329,1061,5,0,0,0,0,0,5,0,0,329,0,0,0,0,0,329,0,0,1061,0,0,0,0,0,1061,0,0,0,0,0,0,0,12,0,0
167745975,projects/0/167745975-e286e44812dcb69320bceba8321e9a2cd267969e,dannyvankooten/dutchfirecalc.nl,e286e44812dcb69320bceba8321e9a2cd267969e,1,8,53,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,8,0,0,53,0,0,0,0,0,53,0,0,0,0,0,0,0,1,0,0
253325553,projects/0/253325553-58ca1b60f08ebc4a19158792d3148aecbd4046f1,MattKaza/El-Khamis-Bot,58ca1b60f08ebc4a19158792d3148aecbd4046f1,1,251,986,1,1,0,0,0,0,1,1,0,251,251,0,0,0,0,251,251,0,986,986,0,0,0,0,986,986,0,2,0,0,0,0,5,2,0
